FEVER PITCH,Tour Block,PWR+CTRL Pearl Urethane
SUPER SON!Q,Centripetal HD Core,NRG Hybrid Reactive
PHYSIX M,Atomic Core,NRG Hybrid Reactive
TROPICAL STORM BLUE,Camber Core,Reactor Pearl Reactive
HALO BURN,Centrum Core,MicroTrax-P18 Pearl Reactive
CRUX PRIME,Catalyst Core,SPEC Solid Reactive
SHIFT LOCK LTD,RAD-X Core,R3X Pearl Reactive
HUGE CELL,Nucleus Core,Wildfire Pearl Reactive
PHAZE TOUR,Velocity Core,GI-18 Pearl Reactive
ULTRA SON!Q,Centripetal HD Core,R2S Pearl Reactive
IQ TOUR RED,C3Centripetal Control Core,U1S Solid Urethane
SUPER GATE SE,Ignition Core,R3S Pearl Reactive
UP BEAT PEARL,Maximum Balance Plus Core,Power Hooking Pearl Reactive
UP BEAT PEARL BLUE PURPLE,Maximum Balance Plus Core,Power Hooking Pearl Reactive
THRONE LIMITED,CAM Core,MicroBite Pearl Reactive
MARVEL MAXX SE,Centripetal Core,NRG Smooth Pearl Reactive
ETERNAL DOMINATION,RAD+ Core,R3X Pearl Reactive
SECRET CODE,RAD4 Core,R2S Pearl Reactive
PHYSIX,Atomic Core,NRG Hybrid Reactive
SWEEP HARD BORDEAUX,3 Piece Core,Hard Polyester
WINNER,Altered Hotshot Core,VTC-P18 Pearl Reactive
HYPERCELL MOTION,Nucleus Core,eTrax-H18 Hybrid Reactive
IQ TOUR GT,C3Centripetal Control Core,R2S Pearl Reactive
SHIFT LOCK,RAD-X Core,R3X Pearl Reactive
HALO,Centrum Core,MicroTrax-S18 Solid Reactive
HY-ROAD UP,Inverted Fe2 Technology,R2S Solid Reactive
MASTER SON!Q,Centripetal HD Core,AX 16 Hybrid Reactive
CRUX FORMULA,Catalyst Core,GI-17 Solid Reactive
SUPER IDOL,Ikon Core,MicroTrax-P18 Pearl Reactive
VIRTUAL TOUR X,Shape-Lock HD Core,R3S Pearl Reactive
POWER LOCK,RAD-X Core,GI-18 Solid Reactive
GOLDEN GATE,Ignition Core,R3X Pearl Reactive
HUSTLE POW,Hustle Core,Pumped Pearl Reactive
TROPICAL STORM VIOLET,Camber Core,Reactor Pearl Reactive
CRUSH IT,Cardiac Core,Ammo Pearl Reactive
HY-ROAD SE,Inverted Fe2 Technology,R2S Pearl Reactive
MARVEL MAXX ELITE,Centripetal Core,NRG Solid Reactive
MAJOR AUTHORITY,Cage Core,Warrant Pearl Reactive
SWORD NANO,C3Centripetal Control Core,NRG Smooth Hybird Reactive
TIMELESS TOUR,Dual Drive,R2X Hybrid Reactive
INTENSE FIRE,RAD-E Core,R3S Hybrid Reactive
HYPERCELL FUSED,Nucleus Core,eTrax-H18 Hybrid Reactive
PHAZE FRENZY,Velocity Core,GI-18 Hybrid Reactive
MARVEL MAXX PEARL,Centripetal Core,NRG Smooth Pearl Reactive
SURE LOCK S,RAD-X Core,GI-17 Solid Reactive
IDOL,Ikon Core,MicroTrax-S18 Solid Reactive
CAPTURE,Idea Core,Wildfire-X Pearl Reactive
HY-ROAD BLACK PEARL,Inverted Fe2 Technology,R2S Pearl Reactive
GATE ONE,Ignition Core,R3X Pearl Reactive
NO RULES WORLD,Chaotic Core,MicroDNA Solid Reactive
IQ TOUR ED II,C3Centripetal Control Core,R2S Solid Reactive
CODE X,RAD4 Core,R2S Solid Reactive
INTENSE FOCUS,RAD-E Core,R2S Pearl Reactive
HUSTLE HYB,Hustle Core,VTC-H18 Hybrid Reactive
PURE CELL,Nucleus Core,Wildfire Pearl Reactive
SON!Q,Centripetal HD Core,R2S Pearl Reactive
DRIVE,Dual Drive,R2S Nano Hybrid Reactive
DAREDEVIL DANGER,Madcap Core,Psyched Hybrid Reactive
HY-ROAD NANO,Inverted Fe2 Technology,NRG Solid Reactive
SWORD C3,C3Centripetal Control Core,Reactor XG Pearl Reactive
LOCK UP,RAD-X Core,GI-17 Solid Reactive
TOP ALLIANCE,Pinnacle Core,ArmorExtreme Pearl Reactive
CODE BLACK NANO PEARL,RAD4 Core,NRG Pearl Reactive
BIG GATE,Ignition Core,R3S Pearl Reactive
NO RULES AGAINST,Chaotic Core,Amped-Up Pearl Reactive
HY-ROAD ACTIVE,Inverted Fe2 Technology,R2S Pearl Reactive
TIMELESS SE,Dual Drive,R2X Pearl Reactive
CODE ZERO,RAD4 Core,R2S Pearl Reactive
TORRENT RUSH,Booster HV Core,R2S Pearl Reactive
HOT CELL,Nucleus Core,Radioactive Urethane
FAME XR,Hero Core,MicroBite Solid Reactive
INTENSE,RAD-E Core,R3S Pearl Reactive
SHOW OFF,Hotshot Core,MicroDNA Solid Reactive
TOUR DOMINATION,RAD+ Core,R3S Pearl Reactive
SUPER GATE,Ignition Core,GI-17 Solid Reactive
SWEEP HARD GREEN,3 Piece Core,Hard Polyester
NO RULES EXIST,Chaotic Core,Reckless Solid Reactive
IQ TOUR SUPREME,C3Centripetal Control Core,R2S Pearl Reactive
MARVEL MAXX LE,Centripetal Core,NRG Smooth Pearl Reactive
LOCKED IN GOLD,RAD-X Core,R3S Hybrid Reactive
GATE,Ignition Core,R3S Pearl Reactive
DAREDEVIL TRICK,Madcap Core,Reckless Solid Reactive
HY-ROAD LIVE,Inverted Fe2 Technology,R2S Hybrid Reactive
CRUX ELITE,Catalyst Core,GI-16 Hybrid Reactive
CODE RED,RAD4 Core,R2S Hybrid Reactive
DEFIANT AMPED,Paragon Core,Armor C Pearl Reactive
TIME LOCK,RAD-X Core,R3X Pearl Reactive
TOTAL AUTHORITY,Cage Core,Warrant Pearl Reactive
CODE RED LTD,RAD4 Core,NRG Solid Reactive
CODE PERFECT,RAD4 Core,R2S Hybrid Reactive
SUPER BITE LE,G2 Core,NRG Pearl Reactive
NO RULES EXTREME PEARL,Chaotic Core,Amped-Up Pearl Reactive
SWORD PERFECT,Centripetal Core,Controll XG Urethane
PHAZE GRIP,Velocity Core,AX 16 Hybrid Reactive
VIRTUAL TOUR EXCLUSIVE,Shape-Lock HD Core,R3S Hybrid Reactive
UPBEAT PURPLE PINK BLACK,Maximum Balance Plus Core,Power Hooking Reactive
TORRENT,Booster HV Core,R2S Solid Reactive
HY-ROAD 300,Inverted Fe2 Technology,R2S Pearl Reactive
SURE LOCK,RAD-X Core,GI-17 Solid Reactive
HY-WIRE CLIMAX,MiddleRoll 70 Core,Amped Pearl Reactive
FAME/U,Hero Core,World-Class Urethane
FAME/R,Hero Core,Icon Pearl Reactive
TIMELESS,Dual Drive,R2S Hybrid Reactive
SWEEP HARD PURPLE,3 Piece Core,Hard Polyester
DAREDEVIL,Madcap Core,Amped Pearl Reactive
NO RULES EXTREME,Chaotic Core,Mutant DNA Solid Reactive
ASSASSIN SWORD,Centripetal Core,Reactor Pearl Reactive
CODE BLACK LIMITED,RAD4 Core,NRG Solid Reactive
AUTHORITY,Cage Core,Warrant Pearl Reactive
STAR LOCK,RAD-X Core,R2S Deep Hybrid Reactive
HAYWIRE LIMITED,MiddleRoll 70 Core,MicroBite Solid Reactive
DOMINATION FOCUS,RAD+ Core,R3S Solid Reactive
WILD BITE EXTREME,G2 Core,NRG Smooth Pearl Reactive
ICE STORM RED,Traditional 3 piece,Polyester Pearl
ICE STORM BLUE,Traditional 3 piece,Polyester Pearl
STREET FIGHT,Iron Cross Core,R4S Pearl Reactive
ALLIANCE COMBAT,Pinnacle Core,NINJA Hybrid Reactive
SWORD PRIME,Centripetal Core,Reactor XG Hybrid Reactive
PHAZE II,Velocity Core,TX-16 Solid Reactive
LOCO PEARL PURPLE,LateRoll 48 Core,Striking Pearl Reactive
LOCO PEARL RED,LateRoll 48 Core,Striking Pearl Reactive
WRECK IT,Neutron Core,Psyched Hybrid Reactive
FAST RIDE,Cruiser Core,Reactor Pearl Reactive
LOCKED IN,RAD-X Core,R3S Pearl Reactive
NO RURLES PEARL,Chaotic Core,Amped Pearl Reactive
NO RURLES,Chaotic Core,MicroBite DNA Solid Reactive
MARVEL MAXX GOLD,Centripetal Core,NRG Smooth Pearl Reactive
CODE PLATINUM,RAD4 Core,R2X Pearl Reactive
POWER CELL,Nucleus Core,77MH Hybrid Reactive
IQ TOUR RISING,C3Centripetal Control Core,R2S Hybrid Reactive
VIRTUAL GRAVITY NS,Shape-Lock HD Core,NRG Smooth Hybird Reactive
HECTIC,LateRoll 56 Core,50ML Pearl Reactive
ROCKET SHIP,Booster Core,R2S Solid Reactive
DARK PHAZE,Velocity Core,AX 16 Hybrid Reactive
MATCH PEARL,Stinger Core,Reactor Pearl Reactive
MATCH,Stinger Core,Reactor Solid Reactive
SWEEP HARD BLUE,3 Piece Core,Hard Polyester
HY-WIRE,MiddleRoll 70 Core,62M Hybrid Reactive
SWORD/U,Centripetal Core,Controll Urethane
NANO LOCK,RAD-X Core,NRG Smooth Solid Reactive
SWORD,Centripetal Core,Reactor Solid Reactive
ALPHA CRUX,Catalyst Core,GI-16 Solid Reactive
CODE STAR,RAD4 Core,R2S Gen4 Pearl Reactive
DEFFIANT RAGE,Paragon Core,MicroBite Plus Pearl Reactive
FIGHT,Iron Cross Core,R4S Solid Reactive
PHAZE,Velocity Core,AX 16 Pearl Reactive
ALLIANCE BLOOD,Pinnacle Core,ArmorExtreme Pearl Reactive
TEAL 30,Centripetal Core,R2S Pearl Reactive
MARVEL THRILL,Centripetal Core,R2S Deep Pearl Reactive
SNAP LOCK,RAD-X Core,R3S Pearl Reactive
IQ TOUR 30,C3Centripetal Control Core,R2S Pearl Reactive
CRITICAL,Triliptic Core,67MH Hybrid Reactive
CODE BLUE SP,RAD4 Core,NRG Solid Reactive
ETERNAL CELL,Nucleus Core,75M Solid Reactive
VIRTUALTOUR S,Shape-Lock HD Core,R2X Pearl Reactive
CRUX CRYSTAL,Catalyst Core,R2S Deep Pearl Reactive
JOY RIDE,Cruiser Core,Reactor Pearl Reactive
MENACE EXTREME,Cage Core,72MH Hybird Reactive
CODE 30,RAD4 Core,R2S Pearl Reactive
NASTY CELL,Nucleus Core,InsightPlus Pearl Reactive
ENTIRE DOMINATION,RAD+ Core,ERG Hybrid Reactive
LOCK,RAD-X Core,GI-15 Hybrid Reactive
LOCO SOLID,LateRoll 48 Core,45L Solid Reactive
LOCO PEARL,LateRoll 48 Core,45L Pearl Reactive
HAYWIRE,MiddleRoll 70 Core,MicroBite Solid Reactive
MENACE,Cage Core,74H Solid Reactive
OPTIMUS 4.0,Tri-Sphere Core,NRG Hybrid Reactive
GRAVITY FLOW,Shape-Lock HD Core,NRG Hybrid Reactive
SMART CELL,Nucleus Core,77H Hybrid Reactive
MARVEL RETRO,Centripetal Core,R2X Solid Reactive
CODE GOLD,RAD4 Core,R2X Pearl Reactive
MIGHTY THRONE,CAM Core,MicroSnap2 Hybrid Reactive
SKY ROCKET,Booster Core,R2S Pearl Reactive
MARVEL MAXX 2,Centripetal Core,NRG Smooth Solid Reactive
ZERO GRAVITY GRIP,Shape-Lock LD Core,ERG Pearl Reactive
OUTCRY,LateRoll 51 Core,53M Hybrid Reactive
OPTIMUS SOLID,Tri-Sphere Core,R2X Solid Reactive
CODE RED SP,RAD4 Core,R3S Solid Reactive
PRISON CELL,Nucleus Core,MicroSnap Solid Reactive
RIDE,Cruiser Core,Reactor Hybrid Reactive
ROCKET POWER,Booster Core,R2S Pearl Reactive
WIPEOUT PRO,Turbine Core,R2S Gen4 Pearl Reactive
DEEP FORTUNE,MiddleRoll 79 Core,80MH Pearl Reactive
IQ TOUR NANO LIMITED,C3Centripetal Control Core,NRG Solid Reactive
TRIPLE CRUX,Catalyst Core,R3S Pearl Reactive
CODE PURPLE,RAD4 Core,R2S Gen4 Pearl Reactive
LIGHTS OUT TE ORANGE,Turbine Core,R2S Pearl Reactive
MY-WAY PRO,Inverted Fe3 Technology,R3S Hybrid Reactive
SINISTER BLAZE,Cage Core,75MH Pearl Reactive
PINK CLEAR POLY,Traditional 3 piece,Ultra Clear Solid Polyester
TOP THRONE,CAM Core,MicroSnap2 Pearl Reactive
ROCKET,Booster Core,R2S Hybrid Reactive
CRUX PEARL,Catalyst Core,ERG Pearl Reactive
HYPERCELL SKID,Nucleus Core,73MH Pearl Reactive
PITCH RED,Capacitor Core,Controll Plus Urethane
OPTIMUS X,Tri-Sphere Core,R3S Pearl Reactive
VIRTUAL STRIKE V,Shape-Lock HD Core,R3X Pearl Reactive
OWN IT,3 Piece Core,Polyester Pearl
STORM NATION PINK,Traditional 3 piece,Ultra Clear Solid Polyester
HY-WAY,Inverted Fe2 Technology,R3S Pearl Reactive
AREA CELL,Nucleus Core,ArmorExtreme Hybrid Reactive
FORTUNE MAKER,MiddleRoll 79 Core,77MH Hybrid Reactive
CODE GREEN,RAD4 Core,R2X Pearl Reactive
THRONE TOUR,CAM Core,MicroSnap Hybrid Reactive
IQ TOUR NANO,C3Centripetal Control Core,NRG Solid Reactive
MARVEL MAXX,Centripetal Core,NRG Smooth Solid Reactive
DARK DOMINATION,RAD+ Core,R3S Plus Pearl Reactive
UPBEAT BLUE PURPLE,Maximum Balance Plus Core,Power Hooking Reactive
BIO CELL,Nucleus Core,ArmorPlus Hybrid Reactive
SKY-ROAD SOLID,Inverted Fe2 Technology,R2S Hybrid Reactive
CRUX,Catalyst Core,ERG Hybrid Reactive
THRONE,CAM Core,MicroSnap Pearl Reactive
EXTREME FIREROAD,Inverted Fe3 Technology,R2X Solid Reactive
ZERO GRAVITY GOLD,Shape-Lock LD Core,NRG Pearl Reactive
HYSTERIA,MiddleRoll 69 Core,67MH Solid Reactive
FORTUNE,MiddleRoll 79 Core,75MH Pearl Reactive
LIGHTS OUT TE RED,Turbine Core,R2S Pearl Reactive
CODE BLUE,RAD4 Core,R3S Pearl Reactive
